Course_code,Course_name,First,Upper_second,Lower_second,Third,Fail,Total_students_2019/20,Average_class_size_2019/20,Capped_2019/20,Value,exam,coursework,project,assessment,presentation,Teaching_hours,Academic_year,Level_of_study
ST101,Programming for Data Science,,,,,,Unavailable,Unavailable,No,Half Unit,,40,60,,,35.0,2020/21,Year 1
ST102,Elementary Statistical Theory,54.4,16.5,10.6,9.9,8.6,579,23,No,One Unit,100%,,,,,90.0,2020/21,Year 1
ST102GC,Elementary Statistical Theory (Spring Semester),,,,,,Unavailable,Unavailable,No,Half Unit,75,,,25,,90.0,2020/21,Year 1
ST107,Quantitative Methods (Statistics),47.7,23.1,11.7,8.8,8.6,435,23,No,Half Unit,100,,,,,45.0,2020/21,Year 1
ST108,Statistical Methods for the Social Sciences,47.5,15.0,22.5,7.5,7.5,21,21,No,One Unit,80,,,20,,60.0,2020/21,Year 1
ST115,Managing and Visualising Data,,,,,,Unavailable,Unavailable,No,Half Unit,,40,60,,,,2020/21,Year 1
ST201,Statistical Models and Data Analysis,63.8,26.3,6.9,2.1,0.9,100,14,No,Half Unit,80,20,,,,40.0,2020/21,Year 2
ST202,"Probability, Distribution Theory and Inference",50.0,20.0,14.5,5.6,9.9,226,76,No,One Unit,100,,,,,60.0,2020/21,Year 2
ST205,Sample Surveys and Experiments,58.0,27.7,10.6,1.9,1.9,138,20,No,Half Unit,80,20,,,,30.0,2020/21,Year 2
ST206,Probability and Distribution Theory,61.9,28.6,4.8,0.0,4.8,20,7,No,Half Unit,100,,,,,30.0,2020/21,Year 2
ST207,Databases,,,,,,Unavailable,Unavailable,No,Half Unit,,40,60,,,,2020/21,Year 2
ST211,Applied Regression,38.1,27.4,23.9,6.2,4.4,52,27,Yes (54),Half Unit,50,,50,,,30.0,2020/21,Year 2
ST213,"Introduction to Pricing, Hedging and Optimization",,,,,,37,37,No,Half Unit,80,20,,,,30.0,2020/21,Year 2
ST226,Actuarial Investigations: Financial,56.9,16.6,9.5,8.6,8.4,162,55,No,Half Unit,90,10,,,,34.0,2020/21,Year 2
ST227,Survival Models,77.2,11.8,4.1,1.0,5.9,172,35,No,Half Unit,90,10,,,,,2020/21,Year 2
ST300,Regression and Generalised Linear Models,44.2,26.5,16.4,8.8,4.0,99,25,No,Half Unit,85,,15,,,30.0,2020/21,Year 3
ST301,Actuarial Mathematics (Life),73.4,11.8,6.3,3.8,4.6,73,24,No,Half Unit,100,,,,,30.0,2020/21,Year 3
ST302,Stochastic Processes,42.1,18.2,17.0,10.7,11.9,115,38,No,Half Unit,100,,,,,29.0,2020/21,Year 3
ST303,Stochastic Simulation,58.6,24.3,9.2,4.6,3.3,42,21,Yes (60),Half Unit,,,100%,,,30.0,2020/21,Year 3
ST304,Time Series and Forecasting,37.2,25.1,15.0,10.9,11.7,63,21,No,Half Unit,100,,,,,30.0,2020/21,Year 3
ST306,Actuarial Mathematics (General),49.4,21.3,14.0,8.5,6.8,70,23,No,Half Unit,100,,,,,30.0,2020/21,Year 3
ST307,Aspects of Market Research,47.3,40.0,7.3,3.6,1.8,22,5,Yes (20),Half Unit,100,,,,,30.0,2020/21,Year 3
ST308,Bayesian Inference,39.3,34.4,13.5,8.6,4.3,67,22,Yes (70),Half Unit,80,,20,,,29.0,2020/21,Year 3
ST309,Elementary Data Analytics,,,,,,58,19,Yes (60),Half Unit,,30,70,,,30.0,2020/21,Year 3
ST310,Machine Learning,,,,,,Unavailable,Unavailable,No,Half Unit,70,,30,,,30.0,2020/21,Year 3
ST311,Artificial Intelligence,,,,,,Unavailable,Unavailable,No,Half Unit,50,50,,,,,2020/21,Year 3
ST312,Applied Statistics Project,26.2,31.0,33.3,2.4,7.1,6,6,Yes (20),Half Unit,,,90,,10,,2020/21,Year 3
ST326,Financial Statistics,,,,,,53,18,No,Half Unit,80,20,,,,25.0,2020/21,Year 3
ST327,Market Research: An Integrated Approach,45.8,44.0,8.4,1.2,0.6,52,13,Yes (60),One Unit,60,25,,,15,36.0,2020/21,Year 3
ST330,Stochastic and Actuarial Methods in Finance,58.4,20.2,11.5,4.1,5.8,71,71,No,One Unit,100,,,,,60.0,2020/21,Year 3
